site,sample_type,sample_id,sample_depth,n-Butylbenzene,n-Pentylbenzene,n-Hexylbenzene,n-Heptylbenzene,n-Octylbenzene,n-Nonylbenzene,n-Decylbenzene,n-Undecylbenzene,n-Dodecylbenzene,n-Tridecylbenzene,n-Tetradecylbenzene,n-Pentadecylbenzene,n-Hexadecylbenzene,n-Heptadecylbenzene,n-Octadecylbenzene,n-Nonadecylbenzene
Bay 106,oiled,IMC-c 0-2,surface,0.258922674,0.1027416,0.114507464,0.055318889,0.089633642,0.374858958,1.635269635,1.559116324,5.90416324,8.672674074,11.00922984,22.67698085,11.43942646,14.33597362,12.18923131,9.581951432
Bay 106,oiled,IMC-c 5-10,subsurface,0.205792129,0.172103431,0.151971582,0.275648416,0.173801354,1.103298905,4.489212079,4.256283922,7.248091278,9.98695335,10.93465511,24.541007,8.879208418,11.31534283,8.460664723,7.805965478
Bay 106,oiled,IMC-e 0-2,surface,1.215153796,0.131551261,0.20485929,0.463924122,1.591053119,3.273838029,9.400526567,5.271057943,5.58235644,9.191669246,10.93051536,16.69380803,9.494981144,7.380485535,10.56875228,8.60546784
Bay 106,oiled,IMC-e 5-10,subsurface,1.42550226,1.403655482,1.310806676,1.36542362,0.643911022,7.374585965,7.405116837,5.258996006,7.594162988,10.70189292,11.92255395,12.94532126,7.837531581,10.42839039,7.393118702,4.989030338
Bay 106,oiled,IME-c 0-2,surface,1.073033591,1.056588631,0.986697555,1.027809953,1.877419574,6.300848587,7.337530726,8.504197428,10.56697589,10.3722859,17.74483505,12.19382589,1.51704749,12.14970095,5.737154146,1.554048648
Bay 106,oiled,IME-c 5-10,subsurface,1.906335439,1.87711957,1.752952128,1.8259918,2.704099023,12.57347461,16.86292498,17.63705107,11.1690405,2.388397274,2.403005209,13.46761272,2.695163897,6.033076907,1.942855275,2.760899602
Bay 106,oiled,IME-e 0-2,surface,6.109366351,3.102547254,2.23598616,2.32915225,2.47740279,12.73760452,13.66106489,17.22389875,12.33875276,3.046531143,3.027897925,4.576551255,3.43782872,7.695519033,2.478217994,3.521678201
Bay 106,oiled,IME-e 5-10,subsurface,0.162764618,0.160270141,0.155843667,0.155904806,0.187238615,1.136498384,3.730093387,4.392879213,5.961298441,7.808856358,9.834041714,29.57109067,9.231535471,11.474385,9.261647902,6.775651614
Bay 11,oiled,B11-BS 0-2,surface,1.534627489,1.511108293,1.411151714,1.469949702,1.561599356,15.85513165,20.6107953,18.11512842,12.98569335,2.706662557,1.934453807,9.490748352,2.16964576,4.856713814,1.564026483,2.222563949
Bay 11,oiled,B11-BS 5-10,subsurface,2.732699597,2.690819144,2.512827216,2.61752835,2.805990391,8.198829265,18.23526958,18.81977395,8.945737936,6.265241072,3.444667308,3.476077649,3.863471844,8.648313668,2.785050164,3.957702865
Bay 11,oiled,B11-I 0-2,surface,1.448341883,4.782880829,4.466503498,4.65260781,1.48318813,4.93502266,7.553785422,12.55944161,10.34512387,1.247026193,6.122831878,6.178663172,6.867249127,15.3722162,4.95037471,7.034743009
Bay 11,oiled,B11-I 5-10,subsurface,2.107720629,4.63087895,4.324556218,4.50474606,4.829087776,5.437167458,6.106748359,9.882398257,7.237027848,5.892207846,5.928245815,5.982302768,6.649005184,14.88368098,4.793049808,6.811176043
Crude Oil Point,oiled,T1 0-2,surface,0.778828032,0.520909011,0.359662919,0.14007801,0.228846173,0.893347692,3.058849891,3.494820898,6.357538428,7.645788321,9.684895575,27.64432555,10.07402171,11.19047785,10.48409722,7.44351273
Crude Oil Point,oiled,T1 5-10,subsurface,0.202737255,0.096436426,0.0578458,0.048980039,0.078225499,0.445015778,2.826406453,4.591195672,8.425944793,10.06441649,10.97354554,19.75806386,10.72943533,11.44642304,10.40072762,9.854600403
Crude Oil Point,oiled,T2 0-2,surface,0.658293588,0.426299999,0.203815129,0.120741076,0.076991899,0.58663449,2.98325067,3.924523301,7.313061011,8.372050949,10.0398497,32.16094643,6.358280466,11.49090161,8.023793077,7.260566598
Crude Oil Point,oiled,T2 5-10,subsurface,0.236011497,0.135184665,0.075200852,0.05316554,0.078181548,0.420529151,2.664827294,4.218672039,8.066284548,10.00996606,10.95244564,18.23119206,12.32027808,11.90756854,10.95913323,9.671359265
