site,sample_type,sample_id,sample_depth,n-Butylbenzene,n-Pentylbenzene,n-Hexylbenzene,n-Heptylbenzene,n-Octylbenzene,n-Nonylbenzene,n-Decylbenzene,n-Undecylbenzene,n-Dodecylbenzene,n-Tridecylbenzene,n-Tetradecylbenzene,n-Pentadecylbenzene,n-Hexadecylbenzene,n-Heptadecylbenzene,n-Octadecylbenzene,n-Nonadecylbenzene
Bay 102,control,N12,surface,1.308038838,1.74292229,1.831323,2.581203454,6.600211293,17.50020513,22.89179997,21.95545016,10.88918552,1.394852538,3.685690766,7.619117045,0,0,0,0
Bay 102,control,N12,subsurface,0,0,0,2.806168468,7.275237645,21.2983329,30.2348831,18.88957169,9.204219342,0,2.746885488,6.055540906,1.48916046,0,0,0
Bay 102,control,GICB-NH,surface,8.879860418,4.398352327,0,0,4.891945001,18.6954419,23.45506014,23.23099177,16.44834845,0,0,0,0,0,0,0
Bay 102,control,GICB-NH,subsurface,0,0,0,0,0,14.90184996,26.11228049,26.14245608,17.89432407,0,5.752387912,9.196701496,0,0,0,0
Bay 102,control,NI-11,surface,0,0,0,0,3.634140225,14.15366135,25.86627617,18.61867626,14.48430229,0,6.726004539,16.51693916,0,0,0,0
Bay 102,control,NI-11,subsurface,0,0,0,0,3.574135685,12.85450981,30.82767385,18.66347501,14.56597944,0,8.845111677,10.66911453,0,0,0,0
Bay 106,oiled,IMC-c,surface,0.258922674,0.1027416,0.114507464,0.055318889,0.089633642,0.374858958,1.635269635,1.559116324,5.90416324,8.672674074,11.00922984,22.67698085,11.43942646,14.33597362,12.18923131,9.581951432
Bay 106,oiled,IMC-c,subsurface,0.206146915,0,0.152233581,0.276123634,0.174100988,1.105200994,4.496951487,4.263621761,7.260586997,10.00417087,10.95350647,24.58331573,8.894516186,11.33485049,8.47525092,7.819422973
Bay 106,oiled,IMC-e,surface,0,0.133169475,0.207379267,0.46963086,1.610624686,3.314109557,9.516162578,5.335897301,5.651025086,9.3047361,11.06497179,16.8991588,9.611779042,7.471272992,10.69875865,8.711323822
Bay 106,oiled,IMC-e,subsurface,0,0,0,0,0.681426178,7.804239641,7.836549283,5.565392457,8.036609527,11.32540014,12.61717859,13.69953376,8.294157114,11.03596298,7.823852121,5.279698212
Bay 106,oiled,IME-c,surface,0,0,0,0,2.023413423,6.790821711,7.908119403,9.165509651,11.38869603,11.17886636,19.12472732,13.14205483,0,13.09449859,6.183292679,0
Bay 106,oiled,IME-c,subsurface,0,0,0,0,3.633847999,16.89660592,22.6608958,23.70118927,15.00928596,0,0,18.09817507,0,0,0,0
Bay 106,oiled,IME-e,surface,8.118210522,4.122707711,0,0,3.2920071,16.9259051,18.15301201,22.88735493,16.39590536,0,4.023512649,6.081384619,0,0,0,0
Bay 106,oiled,IME-e,subsurface,0,0,0.156593656,0,0.188139691,1.141967719,3.748044254,4.4140197,5.989986858,7.846436045,9.881367492,29.7133999,9.275961722,11.52960484,9.306219067,6.80825906
Bay 11,oiled,B11-BS,surface,0,0,0,0,1.920178029,19.49582991,25.34350193,22.27477327,15.96750343,3.328173743,0,11.67003969,0,0,0,0
Bay 11,oiled,B11-BS,subsurface,0,0,0,0,0,13.55966156,30.15846238,31.1251469,14.79493899,10.36179017,0,0,0,0,0,0
Bay 11,oiled,B11-I,surface,3.660023384,0,0,0,3.748081378,12.47101844,19.08874666,31.73825912,26.1425812,3.151289817,0,0,0,0,0,0
Bay 11,oiled,B11-I,subsurface,6.849684262,0,0,0,0,17.66974231,19.84575069,32.11588238,23.51894036,0,0,0,0,0,0,0
Crude Oil Point,oiled,T1,surface,0.778828032,0.520909011,0.359662919,0.14007801,0.228846173,0.893347692,3.058849891,3.494820898,6.357538428,7.645788321,9.684895575,27.64432555,10.07402171,11.19047785,10.48409722,7.44351273
Crude Oil Point,oiled,T1,subsurface,0.202737255,0.096436426,0.0578458,0.048980039,0.078225499,0.445015778,2.826406453,4.591195672,8.425944793,10.06441649,10.97354554,19.75806386,10.72943533,11.44642304,10.40072762,9.854600403
Crude Oil Point,oiled,T2,surface,0.658293588,0.426299999,0.203815129,0.120741076,0.076991899,0.58663449,2.98325067,3.924523301,7.313061011,8.372050949,10.0398497,32.16094643,6.358280466,11.49090161,8.023793077,7.260566598
Crude Oil Point,oiled,T2,subsurface,0.236011497,0.135184665,0.075200852,0.05316554,0.078181548,0.420529151,2.664827294,4.218672039,8.066284548,10.00996606,10.95244564,18.23119206,12.32027808,11.90756854,10.95913323,9.671359265
Crude Oil Point,control,TC,surface,0,0,0,4.502092247,9.763064307,22.31993266,26.11392678,24.46162758,9.946951679,0,0,2.892404754,0,0,0,0
Crude Oil Point,control,TC,subsurface,0,0,0,0,5.498103189,17.80632353,24.80361447,28.22239712,12.21311871,0,3.116751546,4.481262916,3.858428528,0,0,0
Milne Inlet,control,MI-BS,surface,0,0,0,2.568805963,15.02538837,23.28559239,22.62450488,23.42529352,9.461932712,0.858102694,0,2.750379471,0,0,0,0
Milne Inlet,control,MI-BS,subsurface,0,1.452510015,1.440204182,4.202461212,12.25658983,22.47142206,23.18605195,21.52842079,7.809618818,0,0.961919051,3.15157621,1.539225887,0,0,0
Milne Inlet,control,MI-I,surface,2.128847855,0,0,4.934625353,14.53875256,17.25575919,17.71494378,30.11134421,13.31572705,0,0,0,0,0,0,0
Milne Inlet,control,MI-I,subsurface,0,0,0,0,12.30035564,21.6943476,20.03140939,24.66740618,13.70550389,0,0,7.600977304,0,0,0,0
Resolute,control,RB1,surface,0,0,0,0,0,0,0,24.45794662,26.57714779,0,27.87714235,21.08776325,0,0,0,0
Resolute,control,RB1,subsurface,0,0,0,0,0,0,7.42638173,11.4466812,13.73002675,8.743643506,12.47060606,10.53740562,16.87238123,18.77287391,0,0
Resolute,control,TB3,surface,0,0,0,0,0,12.34817814,18.7186182,17.23184744,20.70644074,0,14.71126098,16.28365451,0,0,0,0
Resolute,control,TB3,subsurface,0,0,0,0,0,9.540923177,22.72151408,23.13482727,21.54067201,0,12.07768367,10.98437979,0,0,0,0
