site,sample_type,sample_id,sample_depth,C11,C12,C13,C14,C15,C16,Pristane,C17,Phytane,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
Bay_102,control,NI,surface,0,0.758866119,1.741940922,21.92898088,12.88166431,16.69363725,7.700503976,5.584115919,4.998068519,4.169162246,0.783200002,1.407050841,0.308785839,0.643146143,0.238091663,0.351606667,0.200595933,0.188397117,0.656394023,0.376539129,1.190943036,1.40996189,2.382714649,3.477644423,1.634129164,4.303516344,3.990343006
Bay_102,control,NI,subsurface,0.248739064,0.198187787,1.858583725,17.3976643,16.40830601,17.29593414,10.90649798,8.295418544,7.001106843,3.638110453,0.941136834,0.944020474,0.793734808,0.592180458,0.793325247,0.088996744,0.511476064,0.111313242,1.622075283,0.306521516,2.827815182,1.012900284,2.740330498,1.351539539,0.73511628,0.743810201,0.635158506
Bay_102,control,N12,surface,0,2.838701045,2.682175435,23.26615779,20.67576652,17.42541134,5.914281793,6.824737367,4.107965876,2.57399759,1.035991857,0.683262521,1.711058412,1.377088537,0.206669055,0.014033588,0.202915886,0.011708255,0.377846187,0.217357426,0.562567363,0.962361428,0.975244557,1.672669322,0.562485773,2.864614138,0.252930939
Bay_102,control,N12,subsurface,0,0.618698321,1.803939321,16.21378054,22.69789169,22.44918336,9.433094704,11.50904284,5.171973711,3.3954371,1.065177744,0.791270275,0.606663241,0.965375563,0.620967116,0,0.187672782,0,0.684662658,0,1.443494885,0,0.341674148,0,0,0,0
Bay_102,control,GICB-NH,surface,0,5.517144044,0,5.314371581,11.18328569,10.74775076,6.306520985,13.5038645,9.77426643,1.467462131,4.536254609,2.383935467,3.86879242,0.591304449,5.027031666,5.08770903,2.106374836,0,0,6.279927915,0,0,5.683427094,0,0.620576395,0,0
Bay_102,control,GICB-NH,subsurface,0,0,0,5.19864927,16.62355677,13.5569415,10.15545767,17.89043182,10.38167164,2.969775466,0,9.220267822,0,0,0,5.20435166,2.525350184,2.906394691,1.006926375,2.360225121,0,0,0,0,0,0,0
Bay_106,oiled,IMC-c,surface,0,0.3370339,0.168260797,1.447347423,1.325560914,1.4489802,2.229770674,2.151494315,4.485724552,2.35408352,3.745095413,4.423212106,5.97034418,7.571325039,6.705435828,6.35686664,6.750644497,6.595593568,6.747024897,5.494202062,5.171284416,5.445072673,4.298912767,3.704101346,2.15825847,1.665200399,1.249169409
Bay_106,oiled,IMC-c,subsurface,0,0.216886846,0,1.567060976,1.026321103,2.079881291,2.159120701,2.149414234,3.43008328,2.480218005,3.912700017,4.755043241,5.784499027,8.163617304,7.685507984,7.149068501,7.497914728,7.297056164,7.173309294,5.266783431,4.688535386,4.804910505,3.846279912,2.792511691,1.5023706,2.123212362,0.447693409
Bay_106,oiled,IMC-e,surface,0,0.082766017,0.046801707,4.445820321,1.258519885,3.581406665,12.91931645,4.179439531,22.89229415,2.464401727,2.567258308,1.871032469,2.675713455,3.833461514,3.995141593,4.24448148,4.353184523,4.610056442,3.90809474,3.942423251,4.129178797,1.698545731,3.540191198,0.969032069,1.330127088,0.461310896,0
Bay_106,oiled,IMC-e,subsurface,0,0.137638553,0.377754993,13.09620827,2.49351905,5.162210397,1.63209804,1.908811714,3.930235727,5.780884318,1.766471415,1.149941856,1.688442576,4.958377081,4.627413947,3.536194686,3.248564597,3.630543335,4.424256966,10.83528275,9.603034823,7.028806748,4.144367357,2.716817588,0.787864162,0.913938882,0.420320167
Bay_106,oiled,IME-c,surface,0,0.43996306,0.015967764,7.876815671,1.337987017,3.565759489,2.365953974,1.494503561,6.552058362,1.945127191,1.19872344,0.58583232,4.634445415,3.974086378,1.789158509,0.822332556,2.622354113,1.313037785,2.613286374,2.076099995,2.5240492,6.359578114,5.847970078,11.04986289,9.060746694,10.50701363,7.427286423
Bay_106,oiled,IME-c,subsurface,0,0.063236839,0.358371731,8.921957607,8.825690065,11.90103853,5.114110225,6.121583795,5.837202315,4.623083115,1.375126478,1.746981122,0.654601359,1.737559022,1.541093884,1.567391353,1.559327143,1.571657585,2.834090063,3.112669769,3.605826657,5.665520354,5.023844764,6.168575078,3.910902934,6.158558212,0
Bay_106,oiled,IME-e,surface,0,1.094231866,0.186770382,6.475550577,2.208242603,7.499732697,2.773514455,2.663343786,4.678770637,3.852131541,0.919603553,1.043839712,0.78125592,0.799299577,0.724817257,0.86763008,0.807076883,0.652355629,1.826414859,1.073591314,1.615408492,3.190427041,5.762543686,9.238141323,9.065506054,17.51925235,12.68054772
Bay_106,oiled,IME-e,subsurface,0.245113944,0.488860877,0.033240488,2.764613257,1.234279066,1.359568382,3.102187622,1.804605664,6.565140855,1.642558078,3.167295261,4.306351643,7.114973655,9.059270946,7.445908194,6.405231461,5.971975711,4.764816945,4.509354729,3.50884544,3.487930756,6.557609843,7.053013332,3.755036043,0.982107748,1.508517053,1.16159303
Bay_11,oiled,B11-BS,surface,0,0,0.024127055,1.739069562,1.404900718,1.001521869,5.727255533,3.058258255,10.6682307,1.909184905,0.080695306,0.15223531,0.253549472,0.402520492,0.429186017,0.439780153,0.777076192,0.98379855,5.766183244,7.121532208,4.53856508,4.721826737,17.41125032,9.261864525,7.545599745,4.934089442,9.64769861
Bay_11,oiled,B11-BS,subsurface,0,0,0,41.78827369,6.538534599,0,7.925681678,1.859233995,23.40436328,4.60845297,0.366907658,0,0,0,0,0,0,0,0,0,1.143058472,0,0,7.747396309,0,0,4.618097344
Bay_11,oiled,B11-I,surface,0,0,0.034387772,7.520385463,8.412396775,10.54741283,2.043503077,8.458292552,9.930978882,1.93520098,3.688381833,6.701877786,13.25778395,2.551864733,3.318649763,0.980021196,2.289030038,2.738816344,1.858129515,4.867915724,3.251191383,0.564747518,2.753056168,0,0.701408768,0.596198002,0.998368943
